code,name,exchange,market
000692,惠天热电,SZSE,深市
000695,滨海能源,SZSE,深市
000697,炼石航空,SZSE,深市
000698,ST沈化,SZSE,深市
000700,模塑科技,SZSE,深市
000701,厦门信达,SZSE,深市
000702,正虹科技,SZSE,深市
000703,恒逸石化,SZSE,深市
000707,双环科技,SZSE,深市
000708,中信特钢,SZSE,深市
000709,河钢股份,SZSE,深市
000711,ST京蓝,SZSE,深市
000712,锦龙股份,SZSE,深市
000713,国投丰乐,SZSE,深市
000717,中南股份,SZSE,深市
000718,苏宁环球,SZSE,深市
000719,中原传媒,SZSE,深市
000720,新能泰山,SZSE,深市
000721,西安饮食,SZSE,深市
000722,湖南发展,SZSE,深市
000723,美锦能源,SZSE,深市
000725,京东方Ａ,SZSE,深市
000726,鲁  泰Ａ,SZSE,深市
000727,冠捷科技,SZSE,深市
000728,国元证券,SZSE,深市
000729,燕京啤酒,SZSE,深市
000731,四川美丰,SZSE,深市
000733,振华科技,SZSE,深市
000735,罗 牛 山,SZSE,深市
000736,*ST中地,SZSE,深市
000738,航发控制,SZSE,深市
000739,普洛药业,SZSE,深市
000750,国海证券,SZSE,深市
000752,*ST西发,SZSE,深市
000753,漳州发展,SZSE,深市
000755,山西高速,SZSE,深市
000756,新华制药,SZSE,深市
000758,中色股份,SZSE,深市
000759,中百集团,SZSE,深市
000761,本钢板材,SZSE,深市
000762,西藏矿业,SZSE,深市
000767,晋控电力,SZSE,深市
000768,中航西飞,SZSE,深市
000776,广发证券,SZSE,深市
000777,中核科技,SZSE,深市
000778,新兴铸管,SZSE,深市
000779,甘咨询,SZSE,深市
000782,恒申新材,SZSE,深市
000783,长江证券,SZSE,深市
000786,北新建材,SZSE,深市
000791,甘肃能源,SZSE,深市
000792,盐湖股份,SZSE,深市
000793,*ST华闻,SZSE,深市
000795,英洛华,SZSE,深市
000796,凯撒旅业,SZSE,深市
000797,中国武夷,SZSE,深市
000798,中水渔业,SZSE,深市
000799,酒鬼酒,SZSE,深市
000800,一汽解放,SZSE,深市
000801,四川九洲,SZSE,深市
000802,北京文化,SZSE,深市
000803,山高环能,SZSE,深市
000807,云铝股份,SZSE,深市
000809,和展能源,SZSE,深市
000810,创维数字,SZSE,深市
000811,冰轮环境,SZSE,深市
000812,陕西金叶,SZSE,深市
000815,美利云,SZSE,深市
000819,岳阳兴长,SZSE,深市
000822,山东海化,SZSE,深市
000825,太钢不锈,SZSE,深市
000826,*ST启环,SZSE,深市
000828,东莞控股,SZSE,深市
000829,天音控股,SZSE,深市
000830,鲁西化工,SZSE,深市
000831,中国稀土,SZSE,深市
000833,粤桂股份,SZSE,深市
000837,秦川机床,SZSE,深市
000838,*ST发展,SZSE,深市
000839,国安股份,SZSE,深市
000848,承德露露,SZSE,深市
000852,石化机械,SZSE,深市
000856,冀东装备,SZSE,深市
000858,五 粮 液,SZSE,深市
000860,顺鑫农业,SZSE,深市
000862,银星能源,SZSE,深市
000863,三湘印象,SZSE,深市
000869,张  裕Ａ,SZSE,深市
000875,电投绿能,SZSE,深市
000876,新 希 望,SZSE,深市
000877,天山股份,SZSE,深市
000878,云南铜业,SZSE,深市
000880,潍柴重机,SZSE,深市
000881,中广核技,SZSE,深市
000882,华联股份,SZSE,深市
000883,湖北能源,SZSE,深市
000885,城发环境,SZSE,深市
000886,海南高速,SZSE,深市
000887,中鼎股份,SZSE,深市
000888,峨眉山Ａ,SZSE,深市
000892,欢瑞世纪,SZSE,深市
000895,双汇发展,SZSE,深市
000897,津滨发展,SZSE,深市
000898,鞍钢股份,SZSE,深市
000899,赣能股份,SZSE,深市
000900,现代投资,SZSE,深市
000901,航天科技,SZSE,深市
000902,新洋丰,SZSE,深市
000903,ST云动,SZSE,深市
000905,厦门港务,SZSE,深市
000906,浙商中拓,SZSE,深市
000911,*ST广糖,SZSE,深市
000912,泸天化,SZSE,深市
000913,钱江摩托,SZSE,深市
000915,华特达因,SZSE,深市
000917,电广传媒,SZSE,深市
000919,金陵药业,SZSE,深市
000920,沃顿科技,SZSE,深市
000921,海信家电,SZSE,深市
000922,佳电股份,SZSE,深市
000923,河钢资源,SZSE,深市
000925,众合科技,SZSE,深市
000927,中国铁物,SZSE,深市
000928,中钢国际,SZSE,深市
000930,中粮科技,SZSE,深市
000931,中 关 村,SZSE,深市
000932,华菱钢铁,SZSE,深市
000933,神火股份,SZSE,深市
000937,冀中能源,SZSE,深市
000938,紫光股份,SZSE,深市
000948,南天信息,SZSE,深市
000949,新乡化纤,SZSE,深市
000950,重药控股,SZSE,深市
000951,中国重汽,SZSE,深市
000952,广济药业,SZSE,深市
000957,中通客车,SZSE,深市
000958,电投产融,SZSE,深市
000959,首钢股份,SZSE,深市
000960,锡业股份,SZSE,深市
000962,东方钽业,SZSE,深市
000963,华东医药,SZSE,深市
000965,天保基建,SZSE,深市
000966,长源电力,SZSE,深市
000967,盈峰环境,SZSE,深市
000968,蓝焰控股,SZSE,深市
000969,安泰科技,SZSE,深市
000970,中科三环,SZSE,深市
000972,*ST中基,SZSE,深市
000973,佛塑科技,SZSE,深市
000975,山金国际,SZSE,深市
000977,浪潮信息,SZSE,深市
000978,桂林旅游,SZSE,深市
000981,山子高科,SZSE,深市
000983,山西焦煤,SZSE,深市
000985,大庆华科,SZSE,深市
000987,越秀资本,SZSE,深市
000988,华工科技,SZSE,深市
000989,九芝堂,SZSE,深市
000990,诚志股份,SZSE,深市
000993,闽东电力,SZSE,深市
000997,新 大 陆,SZSE,深市
000998,隆平高科,SZSE,深市
000999,华润三九,SZSE,深市
001201,东瑞股份,SZSE,深市
001203,大中矿业,SZSE,深市
001205,盛航股份,SZSE,深市
001208,华菱线缆,SZSE,深市
001210,金房能源,SZSE,深市
001215,千味央厨,SZSE,深市
001216,华瓷股份,SZSE,深市
001219,青岛食品,SZSE,深市
001221,悍高集团,SZSE,深市
001222,源飞宠物,SZSE,深市
001227,兰州银行,SZSE,深市
001228,永泰运,SZSE,深市
001230,劲旅环境,SZSE,深市
001234,泰慕士,SZSE,深市
001236,弘业期货,SZSE,深市
001238,浙江正特,SZSE,深市
001258,立新能源,SZSE,深市
001283,豪鹏科技,SZSE,深市
001287,中电港,SZSE,深市
001289,龙源电力,SZSE,深市
001299,美能能源,SZSE,深市
001301,尚太科技,SZSE,深市
001308,康冠科技,SZSE,深市
001322,箭牌家居,SZSE,深市
001323,慕思股份,SZSE,深市
001324,长青科技,SZSE,深市
001328,登康口腔,SZSE,深市
001338,永顺泰,SZSE,深市
001339,智微智能,SZSE,深市
001389,广合科技,SZSE,深市
001390,古麒绒材,SZSE,深市
001391,国货航,SZSE,深市
001696,宗申动力,SZSE,深市
001872,招商港口,SZSE,深市
001914,招商积余,SZSE,深市
001965,招商公路,SZSE,深市
001979,招商蛇口,SZSE,深市
002001,新 和 成,SZSE,深市
002003,伟星股份,SZSE,深市
002006,精工科技,SZSE,深市
002007,华兰生物,SZSE,深市
002008,大族激光,SZSE,深市
002009,天奇股份,SZSE,深市
002010,传化智联,SZSE,深市
002011,盾安环境,SZSE,深市
002012,凯恩股份,SZSE,深市
002014,永新股份,SZSE,深市
002015,协鑫能科,SZSE,深市
002016,世荣兆业,SZSE,深市
002017,东信和平,SZSE,深市
002019,亿帆医药,SZSE,深市
002020,京新药业,SZSE,深市
002022,科华生物,SZSE,深市
002024,ST易购,SZSE,深市
002025,航天电器,SZSE,深市
002027,分众传媒,SZSE,深市
002028,思源电气,SZSE,深市
002029,七 匹 狼,SZSE,深市
002030,达安基因,SZSE,深市
002049,紫光国微,SZSE,深市
002129,TCL中环,SZSE,深市
002142,宁波银行,SZSE,深市
002230,科大讯飞,SZSE,深市
002236,大华股份,SZSE,深市
002271,东方雨虹,SZSE,深市
