code,name,title,year,filepath,status
300661,圣邦股份,圣邦股份：2025年度环境、社会及公司治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\300661_圣邦股份_2026.pdf,success
603259,药明康德,药明康德：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\603259_药明康德_2026.pdf,success
300759,康龙化成,康龙化成：2025年环境、社会及管治报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\300759_康龙化成_2026.pdf,success
000963,华东医药,华东医药：2025年度环境、社会和治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000963_华东医药_2026.pdf,success
600196,复星医药,复星医药：复星医药2025年环境、社会及管治（ESG）暨可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600196_复星医药_2026.pdf,success
300347,泰格医药,泰格医药：泰格医药2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\300347_泰格医药_2026.pdf,success
002271,东方雨虹,东方雨虹：2025年可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002271_东方雨虹_2026.pdf,success
000338,潍柴动力,潍柴动力：潍柴动力股份有限公司2025年环境、社会及管治（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000338_潍柴动力_2026.pdf,success
600150,中国船舶,中国船舶：中国船舶工业股份有限公司2025年可持续发展报告暨ESG报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600150_中国船舶_2026.pdf,success
601989,中国重工,,,,not_found
600893,航发动力,航发动力：中国航发动力股份有限公司2025年度环境、社会和公司治理(ESG)报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600893_航发动力_2026.pdf,success
002049,紫光国微,紫光国微：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002049_紫光国微_2026.pdf,success
603986,兆易创新,兆易创新：兆易创新2023年环境、社会及管治报告,2024,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\603986_兆易创新_2024.pdf,success
300782,卓胜微,卓胜微：江苏卓胜微电子股份有限公司2025年可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\300782_卓胜微_2026.pdf,success
002371,北方华创,北方华创：2022年社会责任报告,2023,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002371_北方华创_2023.pdf,success
688012,中微公司,中微公司：2024年环境保护、社会责任及公司治理报告,2025,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\688012_中微公司_2025.pdf,success
300498,温氏股份,温氏股份：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\300498_温氏股份_2026.pdf,success
002311,海大集团,海大集团：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002311_海大集团_2026.pdf,success
000895,双汇发展,双汇发展：2026年一季度报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000895_双汇发展_2026.pdf,success
603288,海天味业,海天味业：海天味业2020年度社会责任报告,2021,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\603288_海天味业_2021.pdf,success
600600,青岛啤酒,青岛啤酒：环境、社会及管治报告,2025,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600600_青岛啤酒_2025.pdf,success
000596,古井贡酒,古井贡酒：2025年环境、社会及治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000596_古井贡酒_2026.pdf,success
002304,洋河股份,洋河股份：2023年社会责任报告,2024,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002304_洋河股份_2024.pdf,success
000001,平安银行,平安银行：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000001_平安银行_2026.pdf,success
000004,*ST国华,,,,no_esg_report
000006,深振业Ａ,深振业Ａ：振业集团环境、社会和公司治理（ESG）报告,2025,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000006_深振业Ａ_2025.pdf,success
000007,全新好,,,,no_esg_report
000008,神州高铁,神州高铁：神州高铁2025可持续发展（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000008_神州高铁_2026.pdf,success
000009,中国宝安,中国宝安：2025年度社会责任报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000009_中国宝安_2026.pdf,success
000010,*ST美丽,深华新：关于浙江深华新生态建设发展有限公司截至2014年12月31日债权债务专项审核报告,2015,,download_failed
000011,深物业A,深物业A：2025年度ESG暨社会责任报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000011_深物业A_2026.pdf,success
000012,南  玻Ａ,南  玻Ａ：2025年度社会责任报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000012_南  玻Ａ_2026.pdf,success
000014,沙河股份,沙河股份：2025年可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000014_沙河股份_2026.pdf,success
